Floodplains,Municipalities,Provinces,Rainfall event,,,FMC USE (FOR VLOOKUP),,,
,,,100 Yr,25 Yr,5 Yr,,,,
,Magdalena,Laguna,508.3,404.8,279.5,"Magdalena, Laguna",508.3,404.8,279.5
,Majayjay,Laguna,508.3,404.8,279.5,"Majayjay, Laguna",508.3,404.8,279.5
,Nagcarlan,Laguna,508.3,404.8,279.5,"Nagcarlan, Laguna",508.3,404.8,279.5
,Pagsanjan,Laguna,508.3,404.8,279.5,"Pagsanjan, Laguna",508.3,404.8,279.5
,Pila,Laguna,508.3,404.8,279.5,"Pila, Laguna",508.3,404.8,279.5
,Santa_Cruz,Laguna,508.3,404.8,279.5,"Santa_Cruz, Laguna",508.3,404.8,279.5
,Victoria,Laguna,508.3,404.8,279.5,"Victoria, Laguna",508.3,404.8,279.5
Sibalom,Guimbal,Iloilo,304.5,241.5,165.2,"Guimbal, Iloilo",304.5,241.5,165.2
,Leon,Iloilo,304.5,241.5,165.2,"Leon, Iloilo",304.5,241.5,165.2
,Oton,Iloilo,304.5,241.5,165.2,"Oton, Iloilo",304.5,241.5,165.2
,Tigbauan,Iloilo,304.5,241.5,165.2,"Tigbauan, Iloilo",304.5,241.5,165.2
,Tubungan,Iloilo,304.5,241.5,165.2,"Tubungan, Iloilo",304.5,241.5,165.2
Sumagui,Bansud,Oriental_Mindoro,313.3,249.2,171.6,"Bansud, Oriental_Mindoro",313.3,249.2,171.6
,Bongabong,Oriental_Mindoro,313.3,249.2,171.6,"Bongabong, Oriental_Mindoro",313.3,249.2,171.6
Guinabasan,Asturias,Cebu,265.7,208.5,139.1,"Asturias, Cebu",265.7,208.5,139.1
,Tuburan,Cebu,265.7,208.5,139.1,"Tuburan, Cebu",265.7,208.5,139.1
Vitali_Tigbao,Tungawan,Zamboanga_Sibugay,191.1,153.4,107.8,"Tungawan, Zamboanga_Sibugay",191.1,153.4,107.8
,Zamboanga_City,Zamboanga_del_Sur,191.1,153.4,107.8,"Zamboanga_City, Zamboanga_del_Sur",191.1,153.4,107.8
Ilang-ilang,Bacoor,Cavite,377.6,301.5,209.4,"Bacoor, Cavite",377.6,301.5,209.4
,Cavite_City,Cavite,377.6,301.5,209.4,"Cavite_City, Cavite",377.6,301.5,209.4
,General_Trias,Cavite,377.6,301.5,209.4,"General_Trias, Cavite",377.6,301.5,209.4
,Imus,Cavite,377.6,301.5,209.4,"Imus, Cavite",377.6,301.5,209.4
,Kawit,Cavite,377.6,301.5,209.4,"Kawit, Cavite",377.6,301.5,209.4
,Noveleta,Cavite,377.6,301.5,209.4,"Noveleta, Cavite",377.6,301.5,209.4
Palinan,Jimenez,Misamis_Occidental,294.4,242,178.5,"Jimenez, Misamis_Occidental",294.4,242,178.5
,Panaon,Misamis_Occidental,294.4,242,178.5,"Panaon, Misamis_Occidental",294.4,242,178.5
,Sinacaban,Misamis_Occidental,294.4,242,178.5,"Sinacaban, Misamis_Occidental",294.4,242,178.5
Tumaga,Zamboanga_City,Zamboanga_del_Sur,191.1,153.4,107.8,"Zamboanga_City, Zamboanga_del_Sur",191.1,153.4,107.8
Canas,General_Trias,Cavite,377.6,301.5,209.4,"General_Trias, Cavite",377.6,301.5,209.4
,Rosario,Cavite,377.6,301.5,209.4,"Rosario, Cavite",377.6,301.5,209.4
,Tanza,Cavite,377.6,301.5,209.4,"Tanza, Cavite",377.6,301.5,209.4
,Trece_Martires_City,Cavite,377.6,301.5,209.4,"Trece_Martires_City, Cavite",377.6,301.5,209.4
Bongquirogon,Bato,Leyte,316.3,259.6,190.8,"Bato, Leyte",316.3,259.6,190.8
,Hilongos,Leyte,316.3,259.6,190.8,"Hilongos, Leyte",316.3,259.6,190.8
Gahub_Ginoong,Gingoog_City,Misamis_Oriental,265.3,214.8,153.6,"Gingoog_City, Misamis_Oriental",265.3,214.8,153.6
Rosario,Lobo,Batangas,508.3,404.8,279.5,"Lobo, Batangas",508.3,404.8,279.5
Tyabanan,Basay,Negros_Oriental,227.3,177.2,116.5,"Basay, Negros_Oriental",227.3,177.2,116.5
,Hinoba_an,Negros_Occidental,227.3,177.2,116.5,"Hinoba_an, Negros_Occidental",227.3,177.2,116.5
Labangan,San_Jose,Occidental_Mindoro,313.3,249.2,171.6,"San_Jose, Occidental_Mindoro",313.3,249.2,171.6
Santa_Cruz,Calauan,Laguna,508.3,404.8,279.5,"Calauan, Laguna",508.3,404.8,279.5
,Liliw,Laguna,508.3,404.8,279.5,"Liliw, Laguna",508.3,404.8,279.5
,Luisiana,Laguna,508.3,404.8,279.5,"Luisiana, Laguna",508.3,404.8,279.5
,Lumban,Laguna,508.3,404.8,279.5,"Lumban, Laguna",508.3,404.8,279.5
,Magdalena,Laguna,508.3,404.8,279.5,"Magdalena, Laguna",508.3,404.8,279.5
,Majayjay,Laguna,508.3,404.8,279.5,"Majayjay, Laguna",508.3,404.8,279.5
,Nagcarlan,Laguna,508.3,404.8,279.5,"Nagcarlan, Laguna",508.3,404.8,279.5
,Pagsanjan,Laguna,508.3,404.8,279.5,"Pagsanjan, Laguna",508.3,404.8,279.5
,Pila,Laguna,508.3,404.8,279.5,"Pila, Laguna",508.3,404.8,279.5
,Santa_Cruz,Laguna,508.3,404.8,279.5,"Santa_Cruz, Laguna",508.3,404.8,279.5
,Victoria,Laguna,508.3,404.8,279.5,"Victoria, Laguna",508.3,404.8,279.5
Pagbangaran,Baybay_City,Leyte,273,222.6,161.4,"Baybay_City, Leyte",273,222.6,161.4
Amnay_Ibod_Monpong,Sablayan,Occidental_Mindoro,313.3,249.2,171.6,"Sablayan, Occidental_Mindoro",313.3,249.2,171.6
,Santa_Cruz,Occidental_Mindoro,434.3,340.4,226.7,"Santa_Cruz, Occidental_Mindoro",434.3,340.4,226.7
Candugay_Ocoy,Dumaguete_City,Negros_Oriental,227.3,177.2,116.5,"Dumaguete_City, Negros_Oriental",227.3,177.2,116.5
,Sibulan,Negros_Oriental,227.3,177.2,116.5,"Sibulan, Negros_Oriental",227.3,177.2,116.5
Daraga,Camalig,Albay,490.3,386.4,260.5,"Camalig, Albay",490.3,386.4,260.5
,Daraga,Albay,490.3,386.4,260.5,"Daraga, Albay",490.3,386.4,260.5
,Legazpi_City,Albay,490.3,386.4,260.5,"Legazpi_City, Albay",490.3,386.4,260.5
Malbug_Putiao,Castilla,Sorsogon,490.3,386.4,260.5,"Castilla, Sorsogon",490.3,386.4,260.5
,Pilar,Sorsogon,490.3,386.4,260.5,"Pilar, Sorsogon",490.3,386.4,260.5
Sipocon,Bayawan_City,Negros_Oriental,227.3,177.2,116.5,"Bayawan_City, Negros_Oriental",227.3,177.2,116.5
,Santa_Catalina,Negros_Oriental,227.3,177.2,116.5,"Santa_Catalina, Negros_Oriental",227.3,177.2,116.5
Siaton_&_Canaway,Siaton,Negros_Oriental,227.3,177.2,116.5,"Siaton, Negros_Oriental",227.3,177.2,116.5
Pagsangahan,Matag_Ob,Leyte,273,222.6,161.4,"Matag_Ob, Leyte",273,222.6,161.4
,Merida,Leyte,273,222.6,161.4,"Merida, Leyte",273,222.6,161.4
,Ormoc_City,Leyte,273,222.6,161.4,"Ormoc_City, Leyte",273,222.6,161.4
,Palompon,Leyte,273,222.6,161.4,"Palompon, Leyte",273,222.6,161.4
Magbando,Calintaan,Occidental_Mindoro,313.3,249.2,171.6,"Calintaan, Occidental_Mindoro",313.3,249.2,171.6
,Magsaysay,Occidental_Mindoro,313.3,249.2,171.6,"Magsaysay, Occidental_Mindoro",313.3,249.2,171.6
,Rizal,Occidental_Mindoro,313.3,249.2,171.6,"Rizal, Occidental_Mindoro",313.3,249.2,171.6
,San_Jose,Occidental_Mindoro,313.3,249.2,171.6,"San_Jose, Occidental_Mindoro",313.3,249.2,171.6
Babuyan_Palawan,Puerto_Princesa_City,Palawan,299.6,234.9,156.4,"Puerto_Princesa_City, Palawan",299.6,234.9,156.4
Pajo,San_Andres,Catanduanes,574.4,449,297,"San_Andres, Catanduanes",574.4,449,297
,Virac,Catanduanes,574.4,449,297,"Virac, Catanduanes",574.4,449,297
Quiaoit,Banna,Ilocos_Norte,602,479.8,331.7,"Banna, Ilocos_Norte",602,479.8,331.7
,Batac_City,Ilocos_Norte,602,479.8,331.7,"Batac_City, Ilocos_Norte",602,479.8,331.7
,Currimao,Ilocos_Norte,602,479.8,331.7,"Currimao, Ilocos_Norte",602,479.8,331.7
,Marcos,Ilocos_Norte,602,479.8,331.7,"Marcos, Ilocos_Norte",602,479.8,331.7
,Paoay,Ilocos_Norte,602,479.8,331.7,"Paoay, Ilocos_Norte",602,479.8,331.7
,Pinili,Ilocos_Norte,602,479.8,331.7,"Pinili, Ilocos_Norte",602,479.8,331.7
,San_Nicolas,Ilocos_Norte,602,479.8,331.7,"San_Nicolas, Ilocos_Norte",602,479.8,331.7
,Sarrat,Ilocos_Norte,602,479.8,331.7,"Sarrat, Ilocos_Norte",602,479.8,331.7
Tandag,Tago,Surigao_del_Sur,483.1,389.7,276.5,"Tago, Surigao_del_Sur",483.1,389.7,276.5
,Tandag_City,Surigao_del_Sur,483.1,389.7,276.5,"Tandag_City, Surigao_del_Sur",483.1,389.7,276.5
Eraan,Rizal,Palawan,299.6,234.9,156.4,"Rizal, Palawan",299.6,234.9,156.4
Inagauan,Puerto_Princesa_City,Palawan,299.6,234.9,156.4,"Puerto_Princesa_City, Palawan",299.6,234.9,156.4
Iwahig,Narra,Palawan,299.6,234.9,156.4,"Narra, Palawan",299.6,234.9,156.4
,Quezon,Palawan,299.6,234.9,156.4,"Quezon, Palawan",299.6,234.9,156.4
Panganiban,Panganiban,Catanduanes,574.4,449,297,"Panganiban, Catanduanes",574.4,449,297
Bato,Baras,Catanduanes,574.4,449,297,"Baras, Catanduanes",574.4,449,297
,Bato,Catanduanes,574.4,449,297,"Bato, Catanduanes",574.4,449,297
,San_Miguel,Catanduanes,574.4,449,297,"San_Miguel, Catanduanes",574.4,449,297
,Virac,Catanduanes,574.4,449,297,"Virac, Catanduanes",574.4,449,297
Bayawan,Bayawan_City,Negros_Oriental,227.3,177.2,116.5,"Bayawan_City, Negros_Oriental",227.3,177.2,116.5
