Floodplains,Municipalities,Provinces,Rainfall event,,,FMC USE (FOR VLOOKUP),,,
,,,100 Yr,25 Yr,5 Yr,,,,
,Roxas,Oriental_Mindoro,313.3,249.2,171.6,"Roxas, Oriental_Mindoro",313.3,249.2,171.6
Bongabong,Bongabong,Oriental_Mindoro,313.3,249.2,171.6,"Bongabong, Oriental_Mindoro",313.3,249.2,171.6
Bucao,Botolan,Zambales,533.6,431.1,307,"Botolan, Zambales",533.6,431.1,307
,Cabangan,Zambales,533.6,431.1,307,"Cabangan, Zambales",533.6,431.1,307
,Iba,Zambales,533.6,431.1,307,"Iba, Zambales",533.6,431.1,307
Bulalacao,Bulalacao,Oriental_Mindoro,313.3,249.2,171.6,"Bulalacao, Oriental_Mindoro",313.3,249.2,171.6
Butas,Pola,Oriental_Mindoro,313.3,249.2,171.6,"Pola, Oriental_Mindoro",313.3,249.2,171.6
,Socorro,Oriental_Mindoro,313.3,249.2,171.6,"Socorro, Oriental_Mindoro",313.3,249.2,171.6
,Victoria,Oriental_Mindoro,508.3,404.8,279.5,"Victoria, Oriental_Mindoro",508.3,404.8,279.5
Cabadbaran,Cabadbaran_City,Agusan_del_Norte,308.6,248.3,175.2,"Cabadbaran_City, Agusan_del_Norte",308.6,248.3,175.2
,Tubay,Agusan_del_Norte,308.6,248.3,175.2,"Tubay, Agusan_del_Norte",308.6,248.3,175.2
Cabulig,Jasaan,Misamis_Oriental,239.7,189.8,129.2,"Jasaan, Misamis_Oriental",239.7,189.8,129.2
Cadacan,Abuyog,Leyte,273,222.6,161.4,"Abuyog, Leyte",273,222.6,161.4
Cairauan,Barbaza,Antique,304.5,241.5,165.2,"Barbaza, Antique",304.5,241.5,165.2
,Laua_An,Antique,304.5,241.5,165.2,"Laua_An, Antique",304.5,241.5,165.2
Calumpang,Batangas_City,Batangas,434.3,340.4,226.7,"Batangas_City, Batangas",434.3,340.4,226.7
,Ibaan,Batangas,434.3,340.4,226.7,"Ibaan, Batangas",434.3,340.4,226.7
,Rosario,Batangas,508.3,404.8,279.5,"Rosario, Batangas",508.3,404.8,279.5
,Taysan,Batangas,434.3,340.4,226.7,"Taysan, Batangas",434.3,340.4,226.7
Cotcot,Compostela,Cebu,265.7,208.5,139.1,"Compostela, Cebu",265.7,208.5,139.1
,Liloan,Cebu,265.7,208.5,139.1,"Liloan, Cebu",265.7,208.5,139.1
Culianan,Zamboanga_City,Zamboanga_del_Sur,191.1,153.4,107.8,"Zamboanga_City, Zamboanga_del_Sur",191.1,153.4,107.8
Daguitan,Dulag,Leyte,273,222.6,161.4,"Dulag, Leyte",273,222.6,161.4
,Julita,Leyte,273,222.6,161.4,"Julita, Leyte",273,222.6,161.4
,La_Paz,Leyte,273,222.6,161.4,"La_Paz, Leyte",273,222.6,161.4
,Mayorga,Leyte,273,222.6,161.4,"Mayorga, Leyte",273,222.6,161.4
Dalanas,Barbaza,Antique,304.5,241.5,165.2,"Barbaza, Antique",304.5,241.5,165.2
,Tibiao,Antique,304.5,241.5,165.2,"Tibiao, Antique",304.5,241.5,165.2
Danao,Escalante_City,Negros_Occidental,265.7,208.5,139.1,"Escalante_City, Negros_Occidental",265.7,208.5,139.1
Donsol,Daraga,Albay,490.3,386.4,260.5,"Daraga, Albay",490.3,386.4,260.5
,Jovellar,Albay,490.3,386.4,260.5,"Jovellar, Albay",490.3,386.4,260.5
,Donsol,Sorsogon,490.3,386.4,260.5,"Donsol, Sorsogon",490.3,386.4,260.5
,Pilar,Sorsogon,490.3,386.4,260.5,"Pilar, Sorsogon",490.3,386.4,260.5
Grande,Cadiz_City,Negros_Occidental,304.5,241.5,165.2,"Cadiz_City, Negros_Occidental",304.5,241.5,165.2
Himogaan_Tanao,Cadiz_City,Negros_Occidental,304.5,241.5,165.2,"Cadiz_City, Negros_Occidental",304.5,241.5,165.2
,Sagay_City,Negros_Occidental,265.7,208.5,139.1,"Sagay_City, Negros_Occidental",265.7,208.5,139.1
Kangaranan,Barbaza,Antique,304.5,241.5,165.2,"Barbaza, Antique",304.5,241.5,165.2
,Bugasong,Antique,304.5,241.5,165.2,"Bugasong, Antique",304.5,241.5,165.2
,Laua_An,Antique,304.5,241.5,165.2,"Laua_An, Antique",304.5,241.5,165.2
