MUNI_PROV,t24_100yr,t24_25yr,t24_5yr
"Dangcagan, Bukidnon",265.3,214.8,153.6
"Dangcagan, Bukidnon",202.1,165.5,121.1
"Danglas, Abra",602,479.8,331.7
"Dao, Capiz",344.6,273,186.2
"Dapa, Surigao_del_Norte",553.9,433,286.5
"Dapao_Lake, Lanao_del_Sur",255.5,204,141.7
"Dapitan_City, Zamboanga_del_Norte",294.4,242,178.5
"Daraga, Albay",490.3,386.4,260.5
"Daram, Samar",273,222.6,161.4
"Daram, Samar",418.8,331.3,255.3
"Dasmariñas, Cavite",377.6,301.5,209.4
"Dasmariñas, Cavite",434.3,340.4,226.7
"Dasol, Pangasinan",533.6,431.1,307
"Dasol, Pangasinan",440.5,352.9,246.7
"Datu_Abdullah_Sanki, Maguindanao",195.2,153.4,102.7
"Datu_Abdullah_Sanki, Maguindanao",202.1,165.5,121.1
"Datu_Anggal_Midtimbang, Maguindanao",202.1,165.5,121.1
"Datu_Blah_T_Sinsuat, Shariff_Kabunsuan",195.2,153.4,102.7
"Datu_Blah_T_Sinsuat, Shariff_Kabunsuan",202.1,165.5,121.1
"Datu_Odin_Sinsuat, Shariff_Kabunsuan",195.2,153.4,102.7
"Datu_Odin_Sinsuat, Shariff_Kabunsuan",202.1,165.5,121.1
"Datu_Paglas, Maguindanao",195.2,153.4,102.7
"Datu_Piang, Maguindanao",202.1,165.5,121.1
"Datu_Saudi_Ampatuan, Maguindanao",195.2,153.4,102.7
"Datu_Saudi_Ampatuan, Maguindanao",202.1,165.5,121.1
"Datu_Unsay, Maguindanao",195.2,153.4,102.7
"Datu_Unsay, Maguindanao",202.1,165.5,121.1
"Dauin, Negros_Oriental",227.3,177.2,116.5
"Dauis, Bohol",222.6,176.7,121.2
"Davao_City, Davao_del_Sur",202.1,165.5,121.1
"Del_Carmen, Surigao_del_Norte",553.9,433,286.5
"Del_Gallego, Camarines_Sur",520.3,411.1,278.7
"Delfin_Albano, Isabela",465.5,367.2,248
"Diadi, Nueva_Vizcaya",427.9,345.5,245.6
"Diadi, Nueva_Vizcaya",1134,876.1,563.6
"Diffun, Quirino",427.9,345.5,245.6
"Digos_City, Davao_del_Sur",202.1,165.5,121.1
"Dilasag, Aurora",427.9,345.5,245.6
"Dimasalang, Masbate",461.8,368.5,255.4
"Dimataling, Zamboanga_del_Sur",294.4,242,178.5
"Dimiao, Bohol",222.6,176.7,121.2
"Dinagat, Dinagat_Islands",553.9,433,286.5
"Dinalungan, Aurora",427.9,345.5,245.6
"Dinalupihan, Bataan",377.6,301.5,209.4
"Dinalupihan, Bataan",415.6,328.8,223.5
"Dinalupihan, Bataan",533.6,431.1,307
"Dinapigue, Isabela",427.9,345.5,245.6
"Dinas, Zamboanga_del_Sur",294.4,242,178.5
"Dingalan, Aurora",404.4,334.4,249.6
"Dingalan, Aurora",349.3,275.2,185.3
"Dingalan, Aurora",551.7,428.2,278.6
"Dingle, Iloilo",304.5,241.5,165.2
"Dingras, Ilocos_Norte",602,479.8,331.7
"Dipaculao, Aurora",427.9,345.5,245.6
"Dipaculao, Aurora",551.7,428.2,278.6
"Diplahan, Zamboanga_Sibugay",294.4,242,178.5
"Dipolog_City, Zamboanga_del_Norte",294.4,242,178.5
"Ditsaan_Ramain, Lanao_del_Sur",255.5,204,141.7
"Divilacan, Isabela",465.5,367.2,248
"Dolores, Abra",602,479.8,331.7
"Dolores, Eastern_Samar",509.4,407.4,283.8
"Dolores, Eastern_Samar",418.8,331.3,255.3
"Dolores, Quezon",508.3,404.8,279.5
"Don_Carlos, Bukidnon",265.3,214.8,153.6
"Don_Marcelino, Davao_del_Sur",195.2,153.4,102.7
"Don_Victoriano_Chiongbian, Misamis_Occidental",294.4,242,178.5
"Doña_Remedios_Trinidad, Bulacan",481.2,373.6,243.1
"Doña_Remedios_Trinidad, Bulacan",404.4,334.4,249.6
"Doña_Remedios_Trinidad, Bulacan",349.3,275.2,185.3
"Donsol, Sorsogon",490.3,386.4,260.5
"Duenas, Iloilo",304.5,241.5,165.2
"Duero, Bohol",222.6,176.7,121.2
"Dulag, Leyte",273,222.6,161.4
"Dumaguete_City, Negros_Oriental",227.3,177.2,116.5
"Dumalag, Capiz",344.6,273,186.2
"Dumalinao, Zamboanga_del_Sur",294.4,242,178.5
"Dumalneg, Ilocos_Norte",602,479.8,331.7
"Dumangas, Iloilo",304.5,241.5,165.2
"Dumanjug, Cebu",265.7,208.5,139.1
"Dumanjug, Cebu",222.6,176.7,121.2
"Dumaran, Palawan",299.6,234.9,156.4
"Dumarao, Capiz",344.6,273,186.2
"Dumingag, Zamboanga_del_Sur",294.4,242,178.5
"Dupax_Del_Norte, Nueva_Vizcaya",551.7,428.2,278.6
"Dupax_Del_Norte, Nueva_Vizcaya",1134,876.1,563.6
"Dupax_Del_Sur, Nueva_Vizcaya",551.7,428.2,278.6
"Dupax_Del_Sur, Nueva_Vizcaya",1134,876.1,563.6
"Echague, Isabela",427.9,345.5,245.6
"El_Nido, Palawan",299.6,234.9,156.4
"El_Salvador_City, Misamis_Oriental",255.5,204,141.7
"Enrile, Cagayan",465.5,367.2,248
"Enrique_B_Magalona, Negros_Occidental",304.5,241.5,165.2
"Enrique_Villanueva, Siquijor",227.3,177.2,116.5
"Escalante_City, Negros_Occidental",265.7,208.5,139.1
"Esperanza, Agusan_del_Sur",265.3,214.8,153.6
"Esperanza, Agusan_del_Sur",308.6,248.3,175.2
"Esperanza, Masbate",418.8,331.3,255.3
"Esperanza, Masbate",461.8,368.5,255.4
"Esperanza, Sultan_Kudarat",195.2,153.4,102.7
"Estancia, Iloilo",344.6,273,186.2
"Famy, Laguna",404.4,334.4,249.6
"Ferrol, Romblon",313.3,249.2,171.6
"Flora, Apayao",465.5,367.2,248
"Flora, Apayao",484,379.3,252.5
"Floridablanca, Pampanga",415.6,328.8,223.5
"Floridablanca, Pampanga",533.6,431.1,307
"Gabaldon, Nueva_Ecija",349.3,275.2,185.3
"Gabaldon, Nueva_Ecija",551.7,428.2,278.6
"Gainza, Camarines_Sur",520.3,411.1,278.7
"Galimuyod, Ilocos_Sur",1134,876.1,563.6
"Gamay, Northern_Samar",418.8,331.3,255.3
"Gamay, Northern_Samar",461.8,368.5,255.4
"Gamu, Isabela",465.5,367.2,248
"Ganassi, Lanao_del_Sur",255.5,204,141.7
"Gandara, Samar",418.8,331.3,255.3
"Gandara, Samar",461.8,368.5,255.4
"Gapan_City, Nueva_Ecija",349.3,275.2,185.3
"Garchitorena, Camarines_Sur",520.3,411.1,278.7
"Garchitorena, Camarines_Sur",574.4,449,297
"Garcia_Hernandez, Bohol",222.6,176.7,121.2
"Gasan, Marinduque",313.3,249.2,171.6
"Gasan, Marinduque",508.3,404.8,279.5
"Gattaran, Cagayan",465.5,367.2,248
"Gattaran, Cagayan",484,379.3,252.5
"Gen_S_K_Pendatun, Maguindanao",195.2,153.4,102.7
"Gen_S_K_Pendatun, Maguindanao",202.1,165.5,121.1
"General_Emilio_Aguinaldo, Cavite",377.6,301.5,209.4
"General_Emilio_Aguinaldo, Cavite",434.3,340.4,226.7
"General_Luna, Quezon",466.7,369.6,252
"General_Luna, Surigao_del_Norte",553.9,433,286.5
"General_Macarthur, Eastern_Samar",409.1,323.8,220.5
"General_Macarthur, Eastern_Samar",509.4,407.4,283.8
"General_Mamerto_Natividad, Nueva_Ecija",349.3,275.2,185.3
"General_Mariano_Alvarez, Cavite",377.6,301.5,209.4
"General_Mariano_Alvarez, Cavite",434.3,340.4,226.7
"General_Nakar, Quezon",481.2,373.6,243.1
"General_Nakar, Quezon",404.4,334.4,249.6
"General_Nakar, Quezon",349.3,275.2,185.3
"General_Santos_City, South_Cotabato",195.2,153.4,102.7
"General_Tinio, Nueva_Ecija",349.3,275.2,185.3
"General_Tinio, Nueva_Ecija",551.7,428.2,278.6
"General_Trias, Cavite",377.6,301.5,209.4
"General_Trias, Cavite",434.3,340.4,226.7
"Gerona, Tarlac",533.6,431.1,307
"Gerona, Tarlac",349.3,275.2,185.3
"Gerona, Tarlac",440.5,352.9,246.7
"Gigaquit, Surigao_del_Norte",553.9,433,286.5
"Gigmoto, Catanduanes",574.4,449,297
"Ginatilan, Cebu",227.3,177.2,116.5
"Gingoog_City, Misamis_Oriental",265.3,214.8,153.6
"Gingoog_City, Misamis_Oriental",239.7,189.8,129.2
"Gingoog_City, Misamis_Oriental",308.6,248.3,175.2
"Giporlos, Eastern_Samar",409.1,323.8,220.5
"Giporlos, Eastern_Samar",509.4,407.4,283.8
"Gitagum, Misamis_Oriental",255.5,204,141.7
"Glan, Sarangani",195.2,153.4,102.7
"Gloria, Oriental_Mindoro",313.3,249.2,171.6
"Goa, Camarines_Sur",520.3,411.1,278.7
"Goa, Camarines_Sur",490.3,386.4,260.5
"Godod, Zamboanga_del_Norte",294.4,242,178.5
"Gonzaga, Cagayan",465.5,367.2,248
"Gonzaga, Cagayan",484,379.3,252.5
"Governor_Generoso, Davao_Oriental",195.2,153.4,102.7
"Governor_Generoso, Davao_Oriental",202.1,165.5,121.1
"Gregorio_Del_Pilar, Ilocos_Sur",1134,876.1,563.6
"Guagua, Pampanga",415.6,328.8,223.5
"Gubat, Sorsogon",490.3,386.4,260.5
"Guiguinto, Bulacan",481.2,373.6,243.1
"Guiguinto, Bulacan",415.6,328.8,223.5
"Guihulngan_City, Negros_Oriental",265.7,208.5,139.1
"Guihulngan_City, Negros_Oriental",227.3,177.2,116.5
"Guihulngan_City, Negros_Oriental",222.6,176.7,121.2
"Guihulngan_City, Negros_Oriental",304.5,241.5,165.2
"Guimba, Nueva_Ecija",349.3,275.2,185.3
"Guimbal, Iloilo",304.5,241.5,165.2
"Guinayangan, Quezon",520.3,411.1,278.7
"Guinayangan, Quezon",466.7,369.6,252
"Guindulman, Bohol",222.6,176.7,121.2
"Guindulman, Bohol",316.3,259.6,190.8
"Guindulungan, Maguindanao",195.2,153.4,102.7
"Guindulungan, Maguindanao",202.1,165.5,121.1
"Guinobatan, Albay",490.3,386.4,260.5
"Guinsiliban, Camiguin",239.7,189.8,129.2
"Guipos, Zamboanga_del_Sur",294.4,242,178.5
"Guiuan, Eastern_Samar",409.1,323.8,220.5
"Gumaca, Quezon",466.7,369.6,252
"Gutalac, Zamboanga_del_Norte",294.4,242,178.5
"Gutalac, Zamboanga_del_Norte",191.1,153.4,107.8
"Hadji_Mohammad_Ajul, Basilan",191.1,153.4,107.8
"Hadji_Panglima_Tahil, Sulu",191.1,153.4,107.8
"Hagonoy, Bulacan",415.6,328.8,223.5
"Hagonoy, Davao_del_Sur",195.2,153.4,102.7
"Hagonoy, Davao_del_Sur",202.1,165.5,121.1
"Hamtic, Antique",304.5,241.5,165.2
"Hermosa, Bataan",377.6,301.5,209.4
"Hermosa, Bataan",415.6,328.8,223.5
"Hermosa, Bataan",533.6,431.1,307
"Hernani, Eastern_Samar",509.4,407.4,283.8
"Hilongos, Leyte",316.3,259.6,190.8
"Himamaylan_City, Negros_Occidental",227.3,177.2,116.5
"Himamaylan_City, Negros_Occidental",304.5,241.5,165.2
"Hinabangan, Samar",509.4,407.4,283.8
"Hinabangan, Samar",418.8,331.3,255.3
"Hinatuan, Surigao_del_Sur",483.1,389.7,276.5
"Hindang, Leyte",316.3,259.6,190.8
"Hingyon, Ifugao",1134,876.1,563.6
"Hinigaran, Negros_Occidental",304.5,241.5,165.2
"Hinoba_An, Negros_Occidental",227.3,177.2,116.5
"Hinunangan, Quezon",316.3,259.6,190.8
"Hinunangan, Southern_Leyte",316.3,259.6,190.8
"Hinundayan, Southern_Leyte",316.3,259.6,190.8
"Hungduan, Ifugao",1134,876.1,563.6
"Iba, Zambales",533.6,431.1,307
"Ibaan, Batangas",434.3,340.4,226.7
"Ibajay, Aklan",344.6,273,186.2
"Igbaras, Iloilo",304.5,241.5,165.2
"Iguig, Cagayan",465.5,367.2,248
"Ilagan, Isabela",465.5,367.2,248
"Iligan_City, Lanao_del_Norte",255.5,204,141.7
"Iligan_City, Lanao_del_Norte",239.7,189.8,129.2
"Ilog, Negros_Occidental",227.3,177.2,116.5
"Ilog, Negros_Occidental",304.5,241.5,165.2
"Iloilo_City, Iloilo",304.5,241.5,165.2
"Imelda, Zamboanga_Sibugay",294.4,242,178.5
"Imelda, Zamboanga_Sibugay",191.1,153.4,107.8
"Impasug_Ong, Bukidnon",265.3,214.8,153.6
"Imus, Cavite",377.6,301.5,209.4
"Inabanga, Bohol",265.7,208.5,139.1
"Inabanga, Bohol",222.6,176.7,121.2
"Indanan, Sulu",191.1,153.4,107.8
"Indang, Cavite",377.6,301.5,209.4
"Indang, Cavite",434.3,340.4,226.7
"Infanta, Pangasinan",533.6,431.1,307
"Infanta, Pangasinan",440.5,352.9,246.7
"Infanta, Quezon",404.4,334.4,249.6
"Initao, Misamis_Oriental",255.5,204,141.7
"Inopacan, Leyte",316.3,259.6,190.8
"Ipil, Zamboanga_Sibugay",191.1,153.4,107.8
"Iriga_City, Camarines_Sur",490.3,386.4,260.5
"Irosin, Sorsogon",490.3,386.4,260.5
"Isabel, Leyte",273,222.6,161.4
"Isabela_City, Basilan",191.1,153.4,107.8
"Isabela, Negros_Occidental",304.5,241.5,165.2
"Isulan, Sultan_Kudarat",195.2,153.4,102.7
"Itbayat, Batanes",484,379.3,252.5
"Itogon, Benguet",1134,876.1,563.6
"Ivana, Batanes",484,379.3,252.5
"Ivisan, Capiz",344.6,273,186.2
"Jabonga, Agusan_del_Norte",308.6,248.3,175.2
"Jabonga, Agusan_del_Norte",553.9,433,286.5
"Jaen, Nueva_Ecija",349.3,275.2,185.3
"Jagna, Bohol",222.6,176.7,121.2
"Jala_Jala, Rizal",508.3,404.8,279.5
"Jala_Jala, Rizal",481.2,373.6,243.1
"Jala_Jala, Rizal",434.3,340.4,226.7
"Jamindan, Capiz",304.5,241.5,165.2
"Jamindan, Capiz",344.6,273,186.2
"Janiuay, Iloilo",304.5,241.5,165.2
"Jaro, Leyte",273,222.6,161.4
"Jasaan, Misamis_Oriental",239.7,189.8,129.2
"Javier, Leyte",273,222.6,161.4
"Javier, Leyte",316.3,259.6,190.8
"Jetafe, Bohol",265.7,208.5,139.1
"Jiabong, Samar",418.8,331.3,255.3
"Jimalalud, Negros_Oriental",227.3,177.2,116.5
"Jimenez, Misamis_Occidental",294.4,242,178.5
"Jipapad, Eastern_Samar",418.8,331.3,255.3
"Jipapad, Eastern_Samar",461.8,368.5,255.4
"Jolo, Sulu",191.1,153.4,107.8
"Jomalig, Quezon",466.7,369.6,252
"Jones, Isabela",427.9,345.5,245.6
"Jordan, Guimaras",304.5,241.5,165.2
"Jose_Abad_Santos, Davao_del_Sur",195.2,153.4,102.7
"Jose_Dalman, Zamboanga_del_Norte",294.4,242,178.5
"Jose_Panganiban, Camarines_Norte",520.3,411.1,278.7
"Josefina, Zamboanga_del_Sur",294.4,242,178.5
"Jovellar, Albay",490.3,386.4,260.5
"Juban, Sorsogon",490.3,386.4,260.5
"Julita, Leyte",273,222.6,161.4
"Kabacan, North_Cotabato",202.1,165.5,121.1
"Kabankalan_City, Negros_Occidental",227.3,177.2,116.5
"Kabankalan_City, Negros_Occidental",304.5,241.5,165.2
"Kabasalan, Zamboanga_Sibugay",294.4,242,178.5
"Kabasalan, Zamboanga_Sibugay",191.1,153.4,107.8
"Kabayan, Benguet",1134,876.1,563.6
"Kabugao, Apayao",602,479.8,331.7
"Kabugao, Apayao",465.5,367.2,248
"Kabugao, Apayao",484,379.3,252.5
"Kabuntalan, Shariff_Kabunsuan",202.1,165.5,121.1
"Kadingilan, Bukidnon",265.3,214.8,153.6
"Kadingilan, Bukidnon",202.1,165.5,121.1
"Kalamansig, Sultan_Kudarat",195.2,153.4,102.7
"Kalawit, Zamboanga_del_Norte",294.4,242,178.5
"Kalawit, Zamboanga_del_Norte",191.1,153.4,107.8
"Kalayaan, Laguna",508.3,404.8,279.5
"Kalibato_Lake, Laguna",508.3,404.8,279.5
"Kalibo, Aklan",344.6,273,186.2
"Kalilangan, Bukidnon",265.3,214.8,153.6
"Kalilangan, Bukidnon",239.7,189.8,129.2
"Kalingalan_Caluang, Sulu",191.1,153.4,107.8
"Kalookan_City, Metropolitan_Manila",481.2,373.6,243.1
"Kalookan_City, Metropolitan_Manila",415.6,328.8,223.5
"Kananga, Leyte",273,222.6,161.4
"Kapai, Lanao_del_Sur",255.5,204,141.7
"Kapalong, Davao_del_Norte",265.3,214.8,153.6
"Kapalong, Davao_del_Norte",202.1,165.5,121.1
"Kapangan, Benguet",1134,876.1,563.6
"Kapatagan, Lanao_del_Norte",294.4,242,178.5
"Kapatagan, Lanao_del_Sur",255.5,204,141.7
"Kasibu, Nueva_Vizcaya",427.9,345.5,245.6
"Kasibu, Nueva_Vizcaya",551.7,428.2,278.6
"Kasibu, Nueva_Vizcaya",1134,876.1,563.6
"Katipunan, Zamboanga_del_Norte",294.4,242,178.5
"Kauswagan, Lanao_del_Norte",255.5,204,141.7
"Kawayan, Biliran",418.8,331.3,255.3
"Kawit, Cavite",377.6,301.5,209.4
"Kayapa, Nueva_Vizcaya",1134,876.1,563.6
"Kiamba, Sarangani",195.2,153.4,102.7
"Kiangan, Ifugao",1134,876.1,563.6
"Kibawe, Bukidnon",202.1,165.5,121.1
"Kiblawan, Davao_del_Sur",195.2,153.4,102.7
"Kibungan, Benguet",1134,876.1,563.6
"Kidapawan_City, North_Cotabato",202.1,165.5,121.1
"Kinoguitan, Misamis_Oriental",239.7,189.8,129.2
"Kitaotao, Bukidnon",265.3,214.8,153.6
"Kitaotao, Bukidnon",202.1,165.5,121.1
"Kitcharao, Agusan_del_Norte",553.9,433,286.5
"Kolambugan, Lanao_del_Norte",294.4,242,178.5
"Koronadal_City, South_Cotabato",195.2,153.4,102.7
"Kumalarang, Zamboanga_del_Sur",294.4,242,178.5
"La_Carlota_City, Negros_Occidental",304.5,241.5,165.2
"La_Castellana, Negros_Occidental",304.5,241.5,165.2
"La_Libertad, Negros_Oriental",227.3,177.2,116.5
"La_Libertad, Negros_Oriental",222.6,176.7,121.2
"La_Libertad, Negros_Oriental",304.5,241.5,165.2
"La_Libertad, Zamboanga_del_Norte",294.4,242,178.5
"La_Paz, Abra",602,479.8,331.7
"La_Paz, Agusan_del_Sur",483.1,389.7,276.5
"La_Paz, Agusan_del_Sur",265.3,214.8,153.6
"La_Paz, Agusan_del_Sur",308.6,248.3,175.2
"La_Paz, Leyte",273,222.6,161.4
"La_Paz, Tarlac",349.3,275.2,185.3
"La_Trinidad, Benguet",1134,876.1,563.6
"Laak, Compostela_Valley",483.1,389.7,276.5
"Laak, Compostela_Valley",265.3,214.8,153.6
"Laak, Compostela_Valley",202.1,165.5,121.1
"Labangan, Zamboanga_del_Sur",294.4,242,178.5
"Labason, Zamboanga_del_Norte",294.4,242,178.5
"Labason, Zamboanga_del_Norte",191.1,153.4,107.8
"Labo, Camarines_Norte",520.3,411.1,278.7
"Labo, Camarines_Norte",466.7,369.6,252
"Labrador, Pangasinan",440.5,352.9,246.7
"Lacub, Abra",602,479.8,331.7
"Lacub, Abra",465.5,367.2,248
"Lagangilang, Abra",602,479.8,331.7
"Lagawe, Ifugao",1134,876.1,563.6
"Lagayan, Abra",602,479.8,331.7
"Lagonglong, Misamis_Oriental",239.7,189.8,129.2
"Lagonoy, Camarines_Sur",520.3,411.1,278.7
"Lagonoy, Camarines_Sur",574.4,449,297
"Lagonoy, Camarines_Sur",490.3,386.4,260.5
"Laguindingan, Misamis_Oriental",255.5,204,141.7
"Laguna_lake, Laguna",377.6,301.5,209.4
"Laguna_lake, Laguna",508.3,404.8,279.5
"Laguna_lake, Laguna",481.2,373.6,243.1
"Laguna_lake, Laguna",404.4,334.4,249.6
"Laguna_lake, Laguna",415.6,328.8,223.5
"Laguna_lake, Laguna",434.3,340.4,226.7
"Lake_Sebu, South_Cotabato",195.2,153.4,102.7
"Lakewood_Lake, Zamboanga_del_Sur",294.4,242,178.5
"Lakewood, Zamboanga_del_Sur",294.4,242,178.5
"Lal_Lo, Cagayan",465.5,367.2,248
"Lal_Lo, Cagayan",484,379.3,252.5
"Lala, Lanao_del_Norte",294.4,242,178.5
"Lambayong, Sultan_Kudarat",195.2,153.4,102.7
"Lambayong, Sultan_Kudarat",202.1,165.5,121.1
"Lambunao, Iloilo",304.5,241.5,165.2
"Lambunao, Iloilo",344.6,273,186.2
"Lamitan_City, Basilan",191.1,153.4,107.8
"Lamut, Ifugao",1134,876.1,563.6
"Lanao_Lake, Lanao_del_Sur",255.5,204,141.7
"Langiden, Abra",602,479.8,331.7
"Languyan, Tawi_Tawi",191.1,153.4,107.8
"Lantapan, Bukidnon",265.3,214.8,153.6
"Lantawan, Basilan",191.1,153.4,107.8
"Lanuza, Surigao_del_Sur",308.6,248.3,175.2
"Laoac, Pangasinan",440.5,352.9,246.7
"Laoag_City, Ilocos_Norte",602,479.8,331.7
"Laoang, Northern_Samar",461.8,368.5,255.4
"Lapinig, Northern_Samar",418.8,331.3,255.3
"Lapinig, Northern_Samar",461.8,368.5,255.4
"Lapu_Lapu_City, Cebu",265.7,208.5,139.1
"Lapuyan, Zamboanga_del_Sur",294.4,242,178.5
"Larena, Siquijor",227.3,177.2,116.5
"Las_Navas, Northern_Samar",418.8,331.3,255.3
"Las_Navas, Northern_Samar",461.8,368.5,255.4
"Las_Nieves, Agusan_del_Norte",308.6,248.3,175.2
"Las_Piñas, Metropolitan_Manila",377.6,301.5,209.4
"Lasam, Cagayan",465.5,367.2,248
"Lasam, Cagayan",484,379.3,252.5
"Laua_An, Antique",304.5,241.5,165.2
"Laua_An, Antique",344.6,273,186.2
"Laur, Nueva_Ecija",349.3,275.2,185.3
"Laurel, Batangas",434.3,340.4,226.7
"Lavezares, Northern_Samar",461.8,368.5,255.4
"Lawaan, Eastern_Samar",509.4,407.4,283.8
"Lawaan, Eastern_Samar",273,222.6,161.4
"Lazi, Siquijor",227.3,177.2,116.5
"Lebak, Sultan_Kudarat",195.2,153.4,102.7
"Leganes, Iloilo",304.5,241.5,165.2
"Legazpi_City, Albay",490.3,386.4,260.5
"Lemery, Batangas",434.3,340.4,226.7
"Lemery, Iloilo",344.6,273,186.2
"Leon, Iloilo",304.5,241.5,165.2
"Leyte, Leyte",273,222.6,161.4
"Lezo, Aklan",344.6,273,186.2
"Lian, Batangas",434.3,340.4,226.7
"Lianga, Surigao_del_Sur",483.1,389.7,276.5
"Libacao, Aklan",344.6,273,186.2
"Libagon, Southern_Leyte",316.3,259.6,190.8
"Libertad, Antique",344.6,273,186.2
"Libertad, Antique",313.3,249.2,171.6
"Libertad, Misamis_Oriental",255.5,204,141.7
"Libjo, Dinagat_Islands",553.9,433,286.5
"Libmanan, Camarines_Sur",520.3,411.1,278.7
"Libon, Albay",490.3,386.4,260.5
"Libona, Bukidnon",265.3,214.8,153.6
"Libona, Bukidnon",239.7,189.8,129.2
"Libungan, North_Cotabato",202.1,165.5,121.1
"Licab, Nueva_Ecija",349.3,275.2,185.3
"Licuan_Baay, Abra",602,479.8,331.7
"Licuan_Baay, Abra",465.5,367.2,248
"Lidlidda, Ilocos_Sur",1134,876.1,563.6
"Ligao_City, Albay",490.3,386.4,260.5
"Lila, Bohol",222.6,176.7,121.2
"Liliw, Laguna",508.3,404.8,279.5
"Liloan, Cebu",265.7,208.5,139.1
"Liloan, Southern_Leyte",316.3,259.6,190.8
"Liloy, Zamboanga_del_Norte",294.4,242,178.5
"Limasawa, Southern_Leyte",316.3,259.6,190.8
"Limay, Bataan",377.6,301.5,209.4
"Linamon, Lanao_del_Norte",255.5,204,141.7
"Linapacan, Palawan",299.6,234.9,156.4
"Lingayen, Pangasinan",440.5,352.9,246.7
"Lingig, Surigao_del_Sur",483.1,389.7,276.5
"Lipa_City, Batangas",434.3,340.4,226.7
"Llanera, Nueva_Ecija",349.3,275.2,185.3
"Llorente, Eastern_Samar",509.4,407.4,283.8
"Loay, Bohol",222.6,176.7,121.2
"Lobo, Batangas",508.3,404.8,279.5
"Lobo, Batangas",434.3,340.4,226.7
"Loboc, Bohol",222.6,176.7,121.2
"Looc, Occidental_Mindoro",434.3,340.4,226.7
"Looc, Romblon",313.3,249.2,171.6
"Loon, Bohol",222.6,176.7,121.2
"Lope_de_Vega, Northern_Samar",461.8,368.5,255.4
"Lopez_Jaena, Misamis_Occidental",294.4,242,178.5
"Lopez, Quezon",466.7,369.6,252
"Loreto, Agusan_del_Sur",483.1,389.7,276.5
"Loreto, Agusan_del_Sur",265.3,214.8,153.6
"Loreto, Dinagat_Islands",409.1,323.8,220.5
"Loreto, Dinagat_Islands",553.9,433,286.5
"Los_Baños, Laguna",434.3,340.4,226.7
"Luba, Abra",602,479.8,331.7
"Luba, Abra",1134,876.1,563.6
"Lubang, Occidental_Mindoro",377.6,301.5,209.4
"Lubang, Occidental_Mindoro",434.3,340.4,226.7
"Lubao, Pampanga",415.6,328.8,223.5
"Lubuagan, Kalinga",465.5,367.2,248
"Lubuagan, Kalinga",1134,876.1,563.6
"Lucban, Quezon",508.3,404.8,279.5
"Lucena_City, Quezon",508.3,404.8,279.5
"Lugait, Misamis_Oriental",255.5,204,141.7
"Lugus, Sulu",191.1,153.4,107.8
"Luisiana, Laguna",508.3,404.8,279.5
"Lumba_Bayabao, Lanao_del_Sur",255.5,204,141.7
"Lumba_Bayabao, Lanao_del_Sur",239.7,189.8,129.2
"Lumbaca_Unayan, Lanao_del_Sur",255.5,204,141.7
"Lumban, Laguna",508.3,404.8,279.5
"Lumbatan, Lanao_del_Sur",255.5,204,141.7
"Lumbayanague, Lanao_del_Sur",255.5,204,141.7
"Luna, Apayao",484,379.3,252.5
"Luna, Isabela",465.5,367.2,248
"Luna, La_Union",1134,876.1,563.6
"Lupao, Nueva_Ecija",349.3,275.2,185.3
"Lupi, Camarines_Sur",520.3,411.1,278.7
"Lupon, Davao_Oriental",202.1,165.5,121.1
"Lutayan, Sultan_Kudarat",195.2,153.4,102.7
"Luuk, Sulu",191.1,153.4,107.8
"M'Lang, North_Cotabato",202.1,165.5,121.1
"Ma_Ayon, Capiz",344.6,273,186.2
"Maasim, Sarangani",195.2,153.4,102.7
"Maasin_City, Southern_Leyte",316.3,259.6,190.8
"Maasin, Iloilo",304.5,241.5,165.2
"Mabalacat, Pampanga",533.6,431.1,307
"Mabalacat, Pampanga",349.3,275.2,185.3
"Mabinay, Negros_Oriental",227.3,177.2,116.5
"Mabini, Batangas",434.3,340.4,226.7
"Mabini, Bohol",316.3,259.6,190.8
"Mabini, Compostela_Valley",202.1,165.5,121.1
"Mabini, Pangasinan",440.5,352.9,246.7
"Mabitac, Laguna",508.3,404.8,279.5
"Mabitac, Laguna",481.2,373.6,243.1
"Mabitac, Laguna",404.4,334.4,249.6
"Mabuhay, Zamboanga_Sibugay",191.1,153.4,107.8
"Macabebe, Pampanga",415.6,328.8,223.5
"Macalelon, Quezon",466.7,369.6,252
"Macarthur, Leyte",273,222.6,161.4
"Maco, Compostela_Valley",202.1,165.5,121.1
"Maconacon, Isabela",465.5,367.2,248
"Macrohon, Southern_Leyte",316.3,259.6,190.8
"Madalag, Aklan",344.6,273,186.2
"Madalum, Lanao_del_Sur",255.5,204,141.7
"Madamba, Lanao_del_Sur",255.5,204,141.7
"Maddela, Quirino",427.9,345.5,245.6
"Madrid, Surigao_del_Sur",308.6,248.3,175.2
"Madridejos, Cebu",265.7,208.5,139.1
"Magalang, Pampanga",349.3,275.2,185.3
"Magallanes, Agusan_del_Norte",308.6,248.3,175.2
"Magallanes, Cavite",377.6,301.5,209.4
"Magallanes, Cavite",434.3,340.4,226.7
"Magallanes, Sorsogon",490.3,386.4,260.5
"Magarao, Camarines_Sur",520.3,411.1,278.7
"Magdalena, Laguna",508.3,404.8,279.5
