MUNI_PROV,t24_100yr,t24_25yr,t24_5yr
"Badian, Cebu",227.3,177.2,116.5
"Badian, Cebu",222.6,176.7,121.2
"Badiangan, Iloilo",304.5,241.5,165.2
"Badoc, Ilocos_Norte",602,479.8,331.7
"Bagabag, Nueva_Vizcaya",427.9,345.5,245.6
"Bagabag, Nueva_Vizcaya",1134,876.1,563.6
"Bagac, Bataan",377.6,301.5,209.4
"Bagamanoc, Catanduanes",574.4,449,297
"Baganga, Davao_Oriental",483.1,389.7,276.5
"Baganga, Davao_Oriental",202.1,165.5,121.1
"Baggao, Cagayan",465.5,367.2,248
"Bago_City, Negros_Occidental",304.5,241.5,165.2
"Baguio_City, Benguet",1134,876.1,563.6
"Bagulin, La_Union",1134,876.1,563.6
"Bagumbayan, Sultan_Kudarat",195.2,153.4,102.7
"Bais_City, Negros_Oriental",227.3,177.2,116.5
"Bakun, Benguet",1134,876.1,563.6
"Balabac, Palawan",299.6,234.9,156.4
"Balabagan, Lanao_del_Sur",255.5,204,141.7
"Balagtas, Bulacan",481.2,373.6,243.1
"Balagtas, Bulacan",415.6,328.8,223.5
"Balamban, Cebu",265.7,208.5,139.1
"Balanga_City, Bataan",377.6,301.5,209.4
"Balangiga, Eastern_Samar",409.1,323.8,220.5
"Balangiga, Eastern_Samar",509.4,407.4,283.8
"Balangiga, Eastern_Samar",273,222.6,161.4
"Balangkayan, Eastern_Samar",509.4,407.4,283.8
"Balaoan, La_Union",1134,876.1,563.6
"Balasan, Iloilo",344.6,273,186.2
"Balatan, Camarines_Sur",490.3,386.4,260.5
"Balayan, Batangas",434.3,340.4,226.7
"Balbalan, Kalinga",465.5,367.2,248
"Baleno, Masbate",490.3,386.4,260.5
"Baler, Aurora",551.7,428.2,278.6
"Balete, Aklan",344.6,273,186.2
"Balete, Batangas",434.3,340.4,226.7
"Baliangao, Misamis_Occidental",294.4,242,178.5
"Baliguian, Zamboanga_del_Norte",191.1,153.4,107.8
"Balilihan, Bohol",222.6,176.7,121.2
"Balindong, Lanao_del_Sur",255.5,204,141.7
"Balingasag, Misamis_Oriental",239.7,189.8,129.2
"Balingoan, Misamis_Oriental",239.7,189.8,129.2
"Baliuag, Bulacan",481.2,373.6,243.1
"Ballesteros, Cagayan",484,379.3,252.5
"Baloi, Lanao_del_Norte",255.5,204,141.7
"Balud, Masbate",344.6,273,186.2
"Balungao, Pangasinan",349.3,275.2,185.3
"Balungao, Pangasinan",440.5,352.9,246.7
"Bamban, Tarlac",533.6,431.1,307
"Bamban, Tarlac",349.3,275.2,185.3
"Bambang, Nueva_Vizcaya",1134,876.1,563.6
"Banate, Iloilo",304.5,241.5,165.2
"Banaue, Ifugao",1134,876.1,563.6
"Banaybanay, Davao_Oriental",202.1,165.5,121.1
"Banayoyo, Ilocos_Sur",1134,876.1,563.6
"Banga, Aklan",344.6,273,186.2
"Banga, South_Cotabato",195.2,153.4,102.7
"Bangar, La_Union",1134,876.1,563.6
"Bangued, Abra",602,479.8,331.7
"Bangui, Ilocos_Norte",602,479.8,331.7
"Bani, Pangasinan",440.5,352.9,246.7
"Banisilan, North_Cotabato",265.3,214.8,153.6
"Banisilan, North_Cotabato",202.1,165.5,121.1
"Banna, Ilocos_Norte",602,479.8,331.7
"Bansalan, Davao_del_Sur",202.1,165.5,121.1
"Bansud, Oriental_Mindoro",313.3,249.2,171.6
"Bantay, Ilocos_Sur",602,479.8,331.7
"Bantayan, Cebu",265.7,208.5,139.1
"Banton, Romblon",313.3,249.2,171.6
"Baras, Catanduanes",574.4,449,297
"Baras, Rizal",481.2,373.6,243.1
"Barbaza, Antique",304.5,241.5,165.2
"Barbaza, Antique",344.6,273,186.2
"Barcelona, Sorsogon",490.3,386.4,260.5
"Barili, Cebu",265.7,208.5,139.1
"Barili, Cebu",222.6,176.7,121.2
"Barira, Shariff_Kabunsuan",255.5,204,141.7
"Barlig, Mountain_Province",465.5,367.2,248
"Barlig, Mountain_Province",1134,876.1,563.6
"Barobo, Surigao_del_Sur",483.1,389.7,276.5
"Barotac_Nuevo, Iloilo",304.5,241.5,165.2
