River_Basins,Municipalities,Provinces,Rainfall event,,,FMC USE (for VLOOKUP),,,
,,,100 Yr,25 Yr,5 Yr,,,,
,Delfin_Albano,Isabela,465.5,367.2,248,"Delfin_Albano, Isabela",465.5,367.2,248
,Enrile,Cagayan,465.5,367.2,248,"Enrile, Cagayan",465.5,367.2,248
,Gamu,Isabela,465.5,367.2,248,"Gamu, Isabela",465.5,367.2,248
,Gattaran,Cagayan,465.5,367.2,248,"Gattaran, Cagayan",465.5,367.2,248
,Gonzaga,Cagayan,465.5,367.2,248,"Gonzaga, Cagayan",465.5,367.2,248
,Iguig,Cagayan,465.5,367.2,248,"Iguig, Cagayan",465.5,367.2,248
,Ilagan,Isabela,465.5,367.2,248,"Ilagan, Isabela",465.5,367.2,248
,Lal_Lo,Cagayan,465.5,367.2,248,"Lal_Lo, Cagayan",465.5,367.2,248
,Lasam,Cagayan,465.5,367.2,248,"Lasam, Cagayan",465.5,367.2,248
,Mallig,Isabela,465.5,367.2,248,"Mallig, Isabela",465.5,367.2,248
,Paracelis,Mountain_Province,465.5,367.2,248,"Paracelis, Mountain_Province",465.5,367.2,248
,Peñablanca,Cagayan,465.5,367.2,248,"Peñablanca, Cagayan",465.5,367.2,248
,Piat,Cagayan,465.5,367.2,248,"Piat, Cagayan",465.5,367.2,248
,Pinukpuk,Kalinga,465.5,367.2,248,"Pinukpuk, Kalinga",465.5,367.2,248
,Quezon,Isabela,465.5,367.2,248,"Quezon, Isabela",465.5,367.2,248
,Quirino,Isabela,465.5,367.2,248,"Quirino, Isabela",465.5,367.2,248
,Rizal,Kalinga,465.5,367.2,248,"Rizal, Kalinga",465.5,367.2,248
,Rizal,Cagayan,465.5,367.2,248,"Rizal, Cagayan",465.5,367.2,248
,Roxas,Isabela,465.5,367.2,248,"Roxas, Isabela",465.5,367.2,248
,San_Pablo,Isabela,465.5,367.2,248,"San_Pablo, Isabela",465.5,367.2,248
,Santa_Maria,Isabela,465.5,367.2,248,"Santa_Maria, Isabela",465.5,367.2,248
,Santa_Teresita,Cagayan,484,379.3,252.5,"Santa_Teresita, Cagayan",484,379.3,252.5
,Santo_Niño,Cagayan,465.5,367.2,248,"Santo_Niño, Cagayan",465.5,367.2,248
,Santo_Tomas,Isabela,465.5,367.2,248,"Santo_Tomas, Isabela",465.5,367.2,248
,Solana,Cagayan,465.5,367.2,248,"Solana, Cagayan",465.5,367.2,248
,Tabuk_City,Kalinga,465.5,367.2,248,"Tabuk_City, Kalinga",465.5,367.2,248
,Tuao,Cagayan,465.5,367.2,248,"Tuao, Cagayan",465.5,367.2,248
,Tuguegarao_City,Cagayan,465.5,367.2,248,"Tuguegarao_City, Cagayan",465.5,367.2,248
,Tumauini,Isabela,465.5,367.2,248,"Tumauini, Isabela",465.5,367.2,248
Mindanao,Cotabato_City,Maguindanao,202.1,165.5,121.1,"Cotabato_City, Maguindanao",202.1,165.5,121.1
,Datu_Odin_Sinsuat,Shariff_Kabunsuan,195.2,153.4,102.7,"Datu_Odin_Sinsuat, Shariff_Kabunsuan",195.2,153.4,102.7
,Kabuntalan,Shariff_Kabunsuan,202.1,165.5,121.1,"Kabuntalan, Shariff_Kabunsuan",202.1,165.5,121.1
,Northern_Kabuntalan,Shariff_Kabunsuan,202.1,165.5,121.1,"Northern_Kabuntalan, Shariff_Kabunsuan",202.1,165.5,121.1
,Parang,Shariff_Kabunsuan,255.5,204,141.7,"Parang, Shariff_Kabunsuan",255.5,204,141.7
,Pigkawayan,North_Cotabato,202.1,165.5,121.1,"Pigkawayan, North_Cotabato",202.1,165.5,121.1
,Sultan_Kudarat,Shariff_Kabunsuan,255.5,204,141.7,"Sultan_Kudarat, Shariff_Kabunsuan",255.5,204,141.7
,Sultan_Mastura,Shariff_Kabunsuan,255.5,204,141.7,"Sultan_Mastura, Shariff_Kabunsuan",255.5,204,141.7
