River_Basins,Municipalities,Provinces,Rainfall event,,,FMC USE (for VLOOKUP),,,
,,,100 Yr,25 Yr,5 Yr,,,,
,San_Jose_del_Monte_City,Bulacan,481.2,373.6,243.1,"San_Jose_del_Monte_City, Bulacan",481.2,373.6,243.1
,San_Mateo,Rizal,481.2,373.6,243.1,"San_Mateo, Rizal",481.2,373.6,243.1
,Taguig,Metropolitan_Manila,481.2,373.6,243.1,"Taguig, Metropolitan_Manila",481.2,373.6,243.1
,Taytay,Rizal,481.2,373.6,243.1,"Taytay, Rizal",481.2,373.6,243.1
,Teresa,Rizal,481.2,373.6,243.1,"Teresa, Rizal",481.2,373.6,243.1
Metro_Manila,Bulacan,Bulacan,481.2,373.6,243.1,"Bulacan, Bulacan",481.2,373.6,243.1
,Kalookan_City,Metropolitan_Manila,481.2,373.6,243.1,"Kalookan_City, Metropolitan_Manila",481.2,373.6,243.1
,Las_Piñas,Metropolitan_Manila,377.6,301.5,209.4,"Las_Piñas, Metropolitan_Manila",377.6,301.5,209.4
,Makati_City,Metropolitan_Manila,481.2,373.6,243.1,"Makati_City, Metropolitan_Manila",481.2,373.6,243.1
,Malabon,Metropolitan_Manila,481.2,373.6,243.1,"Malabon, Metropolitan_Manila",481.2,373.6,243.1
,Mandaluyong,Metropolitan_Manila,481.2,373.6,243.1,"Mandaluyong, Metropolitan_Manila",481.2,373.6,243.1
,Manila,Metropolitan_Manila,415.6,328.8,223.5,"Manila, Metropolitan_Manila",415.6,328.8,223.5
,Marikina,Metropolitan_Manila,481.2,373.6,243.1,"Marikina, Metropolitan_Manila",481.2,373.6,243.1
,Marilao,Bulacan,481.2,373.6,243.1,"Marilao, Bulacan",481.2,373.6,243.1
,Meycauayan_City,Bulacan,481.2,373.6,243.1,"Meycauayan_City, Bulacan",481.2,373.6,243.1
,Muntinlupa,Metropolitan_Manila,377.6,301.5,209.4,"Muntinlupa, Metropolitan_Manila",377.6,301.5,209.4
,Navotas,Metropolitan_Manila,415.6,328.8,223.5,"Navotas, Metropolitan_Manila",415.6,328.8,223.5
,Obando,Bulacan,415.6,328.8,223.5,"Obando, Bulacan",415.6,328.8,223.5
,Parañaque,Metropolitan_Manila,377.6,301.5,209.4,"Parañaque, Metropolitan_Manila",377.6,301.5,209.4
